SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
401442,A32VX00M6VQZTS,3X66WABAJXSBH0WXWE3OR6JNRSZ3GG,1890,1/19/2023 8:34:03 PM,1/19/2023 9:05:33 PM,Approved,7.00,3.43,1.028600,AT3xf,,,,
401442,A3HAS95LD54DT0,3A4NIXBJ779SPEI8DN5J0XX1N02LMK,2143,1/19/2023 8:35:30 PM,1/19/2023 9:11:13 PM,Approved,7.00,3.50,1.028600,KRhFE,,Female,100.00 %,
401442,A17K7GPL0TSQUK,3KRVW3HTZOVFTRDYXW2KCJBWFUASM5,2446,1/19/2023 8:35:25 PM,1/19/2023 9:16:11 PM,Approved,7.00,3.20,1.028600,WHNCb,,Male,100.00 %,
401442,AERGHZBQFT309,3RXCAC0YISZXIX238VYKINRY7ER8GD,2344,1/19/2023 8:37:28 PM,1/19/2023 9:16:32 PM,Approved,7.00,3.44,1.028600,bQees,,Female,100.00 %,
401442,A3N0QZ9ZKUCTCQ,3U8YCDAGXQQ6DXREGNQHJMPIU3OQ03,2607,1/19/2023 8:35:28 PM,1/19/2023 9:18:55 PM,Approved,7.00,3.35,1.028600,nYHH2,,Male,100.00 %,
401442,A37XBH865833FE,3SITXWYCNWJR6HV00HIYXBHUIA8XBT,2716,1/19/2023 8:34:35 PM,1/19/2023 9:19:51 PM,Approved,7.00,3.37,1.028600,YHZzx,,Male,100.00 %,
401442,A32K4W6B31XWVR,3WYP994K181A0A4F9MNS592B6FS6YO,2675,1/19/2023 8:37:27 PM,1/19/2023 9:22:02 PM,Approved,7.00,3.48,1.028600,yzPbe,,Male,100.00 %,
401442,A27JJLY9C2PSHG,3300DTYQT3R54N68OUPW4BRMO4YQEP,2984,1/19/2023 8:35:40 PM,1/19/2023 9:25:24 PM,Approved,7.00,3.48,1.028600,QEjJQ,,Female,100.00 %,
401442,A2IIIRZ1UMOND,3GNA64GUZFE584DFDTWT0HL9BB05Q4,3079,1/19/2023 8:36:11 PM,1/19/2023 9:27:30 PM,Approved,7.00,3.44,1.028600,aQPax,,Female,100.00 %,
401442,AOKU8VR3U72SB,386PBUZZXG72O6CNAQSRK55KJ67LJG,3279,1/19/2023 8:35:59 PM,1/19/2023 9:30:38 PM,Approved,7.00,2.61,1.028600,1aJL1,,Male,100.00 %,
401442,A2NQR8NLH5P3IH,3GGAI1SQEW8ZMAO20ACKXE7ETROMC5,3426,1/19/2023 8:33:33 PM,1/19/2023 9:30:39 PM,Approved,7.00,3.30,1.028600,Dw8mv,,Female,100.00 %,
401442,AP7J9TDQAHP46,33CKWXB73KUI3ISFRR42WQ0KRJ811S,2109,1/19/2023 8:58:50 PM,1/19/2023 9:33:59 PM,Approved,7.00,2.48,1.028600,atBkS,,Female,100.00 %,
401442,A2DP3VTWJJ5P0W,37Q970SNZFIIX2R94AJMSRNTHJFS1X,3613,1/19/2023 8:34:29 PM,1/19/2023 9:34:42 PM,Approved,7.00,3.28,1.028600,P8w1m,,Female,100.00 %,
401442,AJTH3H9E7WPS7,3MMN5BL1W0EB9ASJ7H1J4B3KNEB3MO,3685,1/19/2023 8:33:32 PM,1/19/2023 9:34:57 PM,Approved,7.00,3.33,1.028600,oQjkh,,Female,100.00 %,
401442,A3CH1Z6J9R38G9,3HVVDCPGTF2G28FR5ZVLGJUPQN1YTP,4045,1/19/2023 8:33:31 PM,1/19/2023 9:40:56 PM,Approved,7.00,3.46,1.028600,JAECO,,Male,100.00 %,
401442,A3G7QQTQIKYI2O,3OUYGIZWR88LDLQZGABSJHZ8P720PM,3939,1/19/2023 8:35:36 PM,1/19/2023 9:41:15 PM,Approved,7.00,3.30,1.028600,Aefo0,,Female,100.00 %,
401442,AMIQGW2E3WYO4,3Z7EFSHGNAOAGMN6EHET8VNC0V8XC0,4060,1/19/2023 8:34:07 PM,1/19/2023 9:41:47 PM,Approved,7.00,3.48,1.028600,YrnLv,,Male,100.00 %,
401442,A3RTW9UWYKSNWX,3I3WADAZ9RE2NS0ZYG4PBCQ9WALO5I,3058,1/19/2023 8:50:51 PM,1/19/2023 9:41:49 PM,Approved,7.00,3.48,1.028600,CdjSZ,,Male,100.00 %,
401442,A3PG5AKYG7QW2,36H9ULYP634GOE2ROFPTPS00MALFJ5,4319,1/19/2023 8:36:39 PM,1/19/2023 9:48:38 PM,Approved,7.00,3.48,1.028600,AnZ4v,,Male,100.00 %,
401442,A3NXT3OVGL7QNR,36U2A8VAG29HZPP4BQHTFS7T7ADYKM,3926,1/19/2023 8:43:41 PM,1/19/2023 9:49:07 PM,Approved,7.00,3.50,1.028600,SfzKV,,Male,100.00 %,
401442,A2ADQ1YRXFBEF0,36TFCYNS45K1XUYM09SUJMKSDNDXH9,4921,1/19/2023 8:35:09 PM,1/19/2023 9:57:10 PM,Approved,7.00,2.30,1.028600,8Mzwz,,Male,100.00 %,
401442,AMJAZPJBO936R,3YGXWBAF71RJIKZWU6COBKQE704C41,5218,1/19/2023 8:37:35 PM,1/19/2023 10:04:33 PM,Approved,7.00,3.43,1.028600,R8EJS,,Female,100.00 %,
401442,A3IMM3YOEK9D3H,3DEL4X4EL7VNJPOBA9WI5MFV3JSXYA,5161,1/19/2023 8:41:12 PM,1/19/2023 10:07:13 PM,Approved,7.00,2.69,1.028600,HL3zD,,Female,100.00 %,
